311	7692	13
11452	6398	21
109	3227	14
9991	6794	23
12	2505	16
4021	5643	18
125	1640	18
14	2477	22
17602	9779	9
107	2168	3
461	3743	17
3188	7735	15
104	9327	7
15020	4067	2
4384	4749	27
205	3060	6
29401	246	1
872	9829	10
102	6349	9
21224	5473	10
1615	6626	16
16267	1091	18
324	4292	22
2	8625	28
107	7290	11
12656	9290	12
14	297	13
119	6066	25
4105	1537	25
106	9369	5
112	3872	17
473	9928	20
31461	1767	7
18821	2287	11
106	6260	5
101	3015	8
4313	2986	11
12	4965	9
14	653	7
108	1916	0
24404	1631	14
101	4814	15
489	9797	5
2709	2666	1
101	9474	10
105	7528	1
101	8132	20
24318	1886	44
10217	422	11
28572	4853	8
103	8360	17
108	1467	0
14	6125	17
20757	2132	19
7939	9127	0
107	8692	1
845	8268	6
498	1175	5
14723	5529	8
118	932	3
27596	9029	10
101	545	13
106	8309	27
103	8937	7
18760	754	18
101	5219	7
378	1455	25
9920	3210	25
102	6666	9
445	7027	2
185	1196	21
10854	8316	19
20510	1870	13
483	7089	8
9	6608	16
5445	1292	1
478	3523	11
26482	6934	19
1478	4607	1
13	5603	34
106	244	4
101	2538	4
135	3889	0
6364	2260	6
7	2111	17
109	2204	8
7500	8038	12
245	8734	24
176	8249	17
14	1226	3
14	9377	16
2272	7168	7
915	6228	8
103	3270	9
938	3536	9
232	8899	18
1467	8098	37
1288	8584	12
117	6242	24
1131	9319	0
115	3853	2
162	3831	20
9	1247	5
2167	8309	26
140	4535	12
134	8956	2
255	2507	21
145	9033	5
3203	4378	11
315	9429	5
3901	4913	3
163	6042	21
2889	9850	0
101	9704	6
12	3245	28
1063	6424	11
126	653	4
104	352	24
107	2770	13
201	1451	45
62	1300	17
145	3468	7
14	2823	24
101	3299	6
101	7535	14
101	12	1
101	8578	14
150	838	39
10372	2679	5
8	8990	18
114	9871	7
466	3305	1
107	4671	2
168	553	14
1048	9812	1
147	4256	6
194	2411	1
101	2413	6
106	1981	4
14	2558	33
330	5105	3
20658	6508	1
7	3958	17
20177	4471	3
14	9831	4
25797	1308	4
7	8278	15
106	9623	1
103	331	16
121	2713	23
6977	7900	23
2517	7772	3
12	4715	13
29648	7340	4
6027	1836	6
6966	807	15
16845	6754	3
4530	9359	8
1272	5832	12
104	5604	6
306	1519	25
283	1308	27
6679	175	0
532	1105	13
12	4872	7
101	1861	1
3858	461	0
7	3156	13
103	8259	9
121	4274	12
1210	2546	25
9	2044	13
104	7521	9
9	4542	7
102	4738	19
5429	5070	15
4502	5705	30
2706	226	4
31582	8280	8
58	8634	26
104	7559	4
1724	288	2
802	687	17
4038	8978	32
25358	4418	14
101	2729	23
1687	6034	18
7	4148	19
5472	6486	24
9096	7274	13
136	5982	4
1293	3382	11
623	2999	28
2334	8921	19
